activity_row_count,aggressive_buy_fills,aggressive_buy_qty,aggressive_sell_fills,aggressive_sell_qty,aggressive_take_threshold,annualized_sharpe,average_position,calmar_ratio,center_widening_ticks,daily_osmium_pnl_json,daily_pnl_json,daily_pnl_mean,daily_pnl_min,daily_pnl_std,daily_product_pnl_json,day_count,fill_count,filled_quantity,final_pnl,inventory_turnover,log_path,max_abs_position,max_drawdown_abs,max_drawdown_pct,near_limit_fraction,osmium_total_pnl,passive_ask_fills,passive_ask_qty,passive_bid_fills,passive_bid_qty,reservation_deviation_skew,returncode,robust_score,run_id,runtime_sec,sandbox_entry_count,sharpe_ratio,sortino_ratio,stage,status,stderr_path,stdout_path,stdout_total_profit,total_pnl
60000,406,2358,365,2200,4.5,205.2654,48.7511,0.0159,3,"{""-2"": 8341.0, ""-1"": 9205.0, ""0"": 7917.0}","{""-2"": 8341.0, ""-1"": 9205.0, ""0"": 7917.0}",8487.666666666666,7917.0,535.9535634942847,"{""-2"": {""ASH_COATED_OSMIUM"": 8341.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9205.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7917.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1362,7255,25463,3624.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0011.log,160,1598626,2.7037,0.3894666666666667,25463.0,307,1436,284,1261,0.6,0,8219.689884919524,11,5.594,30000,12.9305,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0011.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0011.stdout.txt,25463,25463.0
60000,368,2163,324,1954,5,231.2636,49.484633333333335,0.016,3,"{""-2"": 8302.0, ""-1"": 9158.0, ""0"": 8043.0}","{""-2"": 8302.0, ""-1"": 9158.0, ""0"": 8043.0}",8501.0,8043.0,476.45006733829587,"{""-2"": {""ASH_COATED_OSMIUM"": 8302.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9158.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 8043.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1280,6809,25503,3401.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0012.log,159,1598608,2.743,0.40386666666666665,25503.0,311,1458,277,1234,0.6,0,8262.774966330851,12,5.491,30000,14.5682,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0012.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0012.stdout.txt,25503,25503.0
60000,518,2922,474,2816,2.5,180.3037,48.032466666666664,0.0149,4,"{""-2"": 7709.0, ""-1"": 8693.0, ""0"": 7346.0}","{""-2"": 7709.0, ""-1"": 8693.0, ""0"": 7346.0}",7916.0,7346.0,569.0571148839103,"{""-2"": {""ASH_COATED_OSMIUM"": 7709.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8693.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7346.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1480,8032,23748,4016.0,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0013.log,160,1598708,2.6286,0.389,23748.0,254,1209,234,1085,0.6,0,7631.471442558045,13,5.542,30000,11.3581,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0013.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0013.stdout.txt,23748,23748.0
60000,500,2828,461,2721,3,161.1826,47.8893,0.0151,4,"{""-2"": 7751.0, ""-1"": 8941.0, ""0"": 7440.0}","{""-2"": 7751.0, ""-1"": 8941.0, ""0"": 7440.0}",8044.0,7440.0,646.8575319702683,"{""-2"": {""ASH_COATED_OSMIUM"": 7751.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8941.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7440.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1451,7846,24132,3923.0,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0014.log,160,1598651,2.6286,0.38393333333333335,24132.0,254,1211,236,1086,0.6,0,7720.571234014866,14,5.466,30000,10.1535,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0014.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0014.stdout.txt,24132,24132.0
60000,479,2708,433,2604,3.5,204.2854,49.780633333333334,0.015,4,"{""-2"": 7591.0, ""-1"": 8720.0, ""0"": 7703.0}","{""-2"": 7591.0, ""-1"": 8720.0, ""0"": 7703.0}",8004.666666666667,7591.0,507.8794695157066,"{""-2"": {""ASH_COATED_OSMIUM"": 7591.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8720.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7703.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1400,7597,24014,3798.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0015.log,160,1598643,2.5397,0.41546666666666665,24014.0,251,1201,237,1084,0.6,0,7750.726931908814,15,5.526,30000,12.8688,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0015.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0015.stdout.txt,24014,24014.0
60000,447,2566,394,2398,4,170.2953,50.1422,0.0151,4,"{""-2"": 7686.0, ""-1"": 8894.0, ""0"": 7523.0}","{""-2"": 7686.0, ""-1"": 8894.0, ""0"": 7523.0}",8034.333333333333,7523.0,611.5076087470667,"{""-2"": {""ASH_COATED_OSMIUM"": 7686.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8894.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7523.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1328,7257,24103,3628.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0016.log,160,1598637,2.5397,0.41746666666666665,24103.0,257,1237,230,1056,0.6,0,7728.5795289598,16,5.757,30000,10.7276,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0016.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0016.stdout.txt,24103,24103.0
60000,411,2395,365,2227,4.5,156.6384,49.2136,0.015,4,"{""-2"": 7430.0, ""-1"": 8932.0, ""0"": 7650.0}","{""-2"": 7430.0, ""-1"": 8932.0, ""0"": 7650.0}",8004.0,7430.0,662.31311829577,"{""-2"": {""ASH_COATED_OSMIUM"": 7430.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8932.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7650.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1258,6885,24012,3439.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0017.log,160,1598654,2.5397,0.40526666666666666,24012.0,254,1223,228,1040,0.6,0,7672.843440852115,17,5.521,30000,9.8673,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0017.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0017.stdout.txt,24012,24012.0
60000,362,2157,328,1978,5,188.7605,49.780566666666665,0.0153,4,"{""-2"": 7665.0, ""-1"": 8925.0, ""0"": 7831.0}","{""-2"": 7665.0, ""-1"": 8925.0, ""0"": 7831.0}",8140.333333333333,7665.0,558.9665066491511,"{""-2"": {""ASH_COATED_OSMIUM"": 7665.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8925.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7831.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1184,6447,24421,3220.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0018.log,158,1598683,2.5468,0.4107,24421.0,261,1253,233,1059,0.6,0,7860.850080008758,18,5.578,30000,11.8908,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0018.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0018.stdout.txt,24421,24421.0
60000,518,2903,479,2828,2.5,164.4263,48.98746666666667,0.0142,5,"{""-2"": 7194.0, ""-1"": 8406.0, ""0"": 7094.0}","{""-2"": 7194.0, ""-1"": 8406.0, ""0"": 7094.0}",7564.666666666667,7094.0,596.3116262119627,"{""-2"": {""ASH_COATED_OSMIUM"": 7194.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8406.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7094.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1404,7687,22694,3843.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0019.log,160,1598618,2.6413,0.4034333333333333,22694.0,212,1023,195,933,0.6,0,7266.510853560686,19,5.598,30000,10.3579,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0019.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0019.stdout.txt,22694,22694.0
60000,499,2814,462,2750,3,170.8399,49.164233333333335,0.0144,5,"{""-2"": 7297.0, ""-1"": 8511.0, ""0"": 7252.0}","{""-2"": 7297.0, ""-1"": 8511.0, ""0"": 7252.0}",7686.666666666667,7252.0,583.1811229988692,"{""-2"": {""ASH_COATED_OSMIUM"": 7297.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 8511.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7252.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1371,7541,23060,3770.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0020.log,160,1598596,2.6413,0.40886666666666666,23060.0,212,1028,198,949,0.6,0,7395.0761051672325,20,5.586,30000,10.7619,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0020.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0020.stdout.txt,23060,23060.0
